coquitlam-monday,2011-02-7,GRY
coquitlam-monday,2011-02-14,GRY
coquitlam-monday,2011-02-21,GRY
coquitlam-monday,2011-02-28,GRY
coquitlam-tuesday,2011-02-1,GRY
coquitlam-tuesday,2011-02-8,GRY
coquitlam-tuesday,2011-02-15,GRY
coquitlam-tuesday,2011-02-22,GRY
coquitlam-wednesday,2011-02-2,GRY
coquitlam-wednesday,2011-02-9,GRY
coquitlam-wednesday,2011-02-16,GRY
coquitlam-wednesday,2011-02-23,GRY
coquitlam-thursday,2011-02-3,GRY
coquitlam-thursday,2011-02-10,GRY
coquitlam-thursday,2011-02-17,GRY
coquitlam-thursday,2011-02-24,GRY
coquitlam-monday,2011-03-7,GRY
coquitlam-monday,2011-03-14,GRY
coquitlam-monday,2011-03-21,GRY
coquitlam-monday,2011-03-28,GRY
coquitlam-tuesday,2011-03-1,GRY
coquitlam-tuesday,2011-03-8,GRY
coquitlam-tuesday,2011-03-15,GRY
coquitlam-tuesday,2011-03-22,GRY
coquitlam-tuesday,2011-03-29,GRY
coquitlam-wednesday,2011-03-2,GRY
coquitlam-wednesday,2011-03-9,GRY
coquitlam-wednesday,2011-03-16,GRY
coquitlam-wednesday,2011-03-23,GRY
coquitlam-wednesday,2011-03-30,GRY
coquitlam-thursday,2011-03-3,GRY
coquitlam-thursday,2011-03-10,GRY
coquitlam-thursday,2011-03-17,GRY
coquitlam-thursday,2011-03-24,GRY
coquitlam-thursday,2011-03-31,GRY
coquitlam-monday,2011-04-4,GRY
coquitlam-monday,2011-04-11,GRY
coquitlam-monday,2011-04-18,GRY
coquitlam-monday,2011-04-26,GRY
coquitlam-tuesday,2011-04-5,GRY
coquitlam-tuesday,2011-04-12,GRY
coquitlam-tuesday,2011-04-19,GRY
coquitlam-tuesday,2011-04-27,GRY
coquitlam-wednesday,2011-04-6,GRY
coquitlam-wednesday,2011-04-13,GRY
coquitlam-wednesday,2011-04-20,GRY
coquitlam-wednesday,2011-04-28,GRY
coquitlam-thursday,2011-04-7,GRY
coquitlam-thursday,2011-04-14,GRY
coquitlam-thursday,2011-04-21,GRY
coquitlam-thursday,2011-04-29,GRY
coquitlam-monday,2011-05-2,GRY
coquitlam-monday,2011-05-9,GRY
coquitlam-monday,2011-05-16,GRY
coquitlam-monday,2011-05-24,GRY
coquitlam-monday,2011-05-30,GRY
coquitlam-tuesday,2011-05-3,GRY
coquitlam-tuesday,2011-05-10,GRY
coquitlam-tuesday,2011-05-17,GRY
coquitlam-tuesday,2011-05-25,GRY
coquitlam-tuesday,2011-05-31,GRY
coquitlam-wednesday,2011-05-4,GRY
coquitlam-wednesday,2011-05-11,GRY
coquitlam-wednesday,2011-05-18,GRY
coquitlam-wednesday,2011-05-26,GRY
coquitlam-thursday,2011-05-5,GRY
coquitlam-thursday,2011-05-12,GRY
coquitlam-thursday,2011-05-19,GRY
coquitlam-thursday,2011-05-27,GRY
