edmonton-B3,2011-06-09,gr,-06
edmonton-B3,2011-06-16,gr,-06
edmonton-B3,2011-06-23,gr,-06
edmonton-B3,2011-06-30,gr,-06
edmonton-B3,2011-07-08,gr,-06
edmonton-B3,2011-07-15,gr,-06
edmonton-B3,2011-07-22,gr,-06
edmonton-B3,2011-07-29,gr,-06
edmonton-B3,2011-08-08,gr,-06
edmonton-B3,2011-08-15,gr,-06
edmonton-B3,2011-08-22,gr,-06
edmonton-B3,2011-08-29,gr,-06
edmonton-B3,2011-09-06,gr,-06
edmonton-B3,2011-09-13,gr,-06
edmonton-B3,2011-09-20,gr,-06
edmonton-B3,2011-09-27,gr,-06
edmonton-B3,2011-10-04,gr,-06
edmonton-B3,2011-10-12,gr,-06
edmonton-B3,2011-10-19,gr,-06
edmonton-B3,2011-10-27,gr,-06
edmonton-B3,2011-11-08,gr,-07
edmonton-B3,2011-11-21,gr,-07
edmonton-B3,2011-12-01,gr,-07
edmonton-B3,2011-12-12,gr,-07
edmonton-B3,2011-12-19,gr,-07
edmonton-B3,2011-12-28,gr,-07
edmonton-B3,2012-01-06,gr,-07
edmonton-B3,2012-01-18,gr,-07
edmonton-B3,2012-01-30,gr,-07
edmonton-B3,2012-02-09,gr,-07
edmonton-B3,2012-02-22,gr,-07
edmonton-B3,2012-03-05,gr,-07
edmonton-B3,2012-03-14,gr,-06
edmonton-B3,2012-03-21,gr,-06
edmonton-B3,2012-03-28,gr,-06
edmonton-B3,2012-04-04,gr,-06
edmonton-B3,2012-04-13,gr,-06
edmonton-B3,2012-04-20,gr,-06
edmonton-B3,2012-04-27,gr,-06
edmonton-B3,2012-05-04,gr,-06
edmonton-B3,2012-05-11,gr,-06
edmonton-B3,2012-05-18,gr,-06
edmonton-B3,2012-05-28,gr,-06
edmonton-B4,2011-06-02,gr,-06
edmonton-B4,2011-06-09,gr,-06
edmonton-B4,2011-06-16,gr,-06
edmonton-B4,2011-06-23,gr,-06
edmonton-B4,2011-06-30,gr,-06
edmonton-B4,2011-07-08,gr,-06
edmonton-B4,2011-07-15,gr,-06
edmonton-B4,2011-07-22,gr,-06
edmonton-B4,2011-07-29,gr,-06
edmonton-B4,2011-08-08,gr,-06
edmonton-B4,2011-08-15,gr,-06
edmonton-B4,2011-08-22,gr,-06
edmonton-B4,2011-08-29,gr,-06
edmonton-B4,2011-09-06,gr,-06
edmonton-B4,2011-09-13,gr,-06
edmonton-B4,2011-09-20,gr,-06
edmonton-B4,2011-09-27,gr,-06
edmonton-B4,2011-10-04,gr,-06
edmonton-B4,2011-10-12,gr,-06
edmonton-B4,2011-10-19,gr,-06
edmonton-B4,2011-10-28,gr,-06
edmonton-B4,2011-11-09,gr,-07
edmonton-B4,2011-11-22,gr,-07
edmonton-B4,2011-12-02,gr,-07
edmonton-B4,2011-12-12,gr,-07
edmonton-B4,2011-12-19,gr,-07
edmonton-B4,2011-12-28,gr,-07
edmonton-B4,2012-01-09,gr,-07
edmonton-B4,2012-01-19,gr,-07
edmonton-B4,2012-01-31,gr,-07
edmonton-B4,2012-02-10,gr,-07
edmonton-B4,2012-02-23,gr,-07
edmonton-B4,2012-03-06,gr,-07
edmonton-B4,2012-03-14,gr,-06
edmonton-B4,2012-03-21,gr,-06
edmonton-B4,2012-03-28,gr,-06
edmonton-B4,2012-04-04,gr,-06
edmonton-B4,2012-04-13,gr,-06
edmonton-B4,2012-04-20,gr,-06
edmonton-B4,2012-04-27,gr,-06
edmonton-B4,2012-05-04,gr,-06
edmonton-B4,2012-05-11,gr,-06
edmonton-B4,2012-05-18,gr,-06
edmonton-B4,2012-05-28,gr,-06
edmonton-C4,2011-06-03,gr,-06
